,Patient,Direction,Magnitude,Cz_1,Cz_2,Cz_3,Cz_4,Agonist_1,Agonist_2,Agonist_3,Agonist_4,Agonist_5,Agonist_6,Agonist_7,Agonist_8
122,PD04,90,10,3.352529291,0.006542576,0.003907798,0.130650326,3.684706597,0.026820597,0.007798279,0.137260549,1.366686653,9.94e-07,0.008320773,0.19143026
123,PD04,270,5,7.898883835,0.01103232,1.46e-09,0.14980225,3.728375721,0.007946599,5.02e-07,0.141856565,0.859714309,5.04e-07,5.04e-07,0.211232811
124,PD04,270,7.5,4.819639328,0.011607015,1.63e-09,0.134454572,2.838109172,0.009666125,0.016870045,0.141306633,0.766519797,4.81e-10,0.000351071,0.1983859
125,PD04,270,10,3.722853532,0.010206462,8.12e-09,0.129827015,4.116093508,0.006238361,0.021184894,0.144574919,0.85994654,0.00128132,0.003102773,0.299999967
126,PD05,90,5,6.166490321,0.000719821,7.45e-11,0.123664976,5.253353025,0.016999007,5.75e-08,0.133438575,2.915355299,2.99e-08,7.71e-08,0.19582471
127,PD05,90,7.5,4.676143181,5.69e-07,1.21e-06,0.1065286,4.664927767,0.018969457,9.11e-09,0.113719936,2.892702341,9.96e-07,1.1e-08,0.185258426
128,PD05,90,10,3.613188896,1.41e-07,1.84e-07,0.10541257,3.928636548,0.016999903,5.01e-07,0.136311753,2.371413802,5.41e-07,5.32e-07,0.199525497
129,PD05,270,5,7.020251573,2.21e-09,3.27e-09,0.123408291,5.244562395,0.01987228,0.000364703,0.107246749,2.668756369,1.13e-08,0.012845709,0.164198887
130,PD05,270,7.5,5.289243944,0.002127035,2.39e-09,0.108362386,3.632016409,0.014388864,0.013418298,0.114646402,1.336371004,4.19e-09,0.009576166,0.169598535
131,PD05,270,10,3.575669613,0.002680556,7.44e-09,0.108384276,3.401953325,0.005526565,0.025903362,0.121323155,2.742334295,2.24e-09,2e-08,0.299999956
132,PD06,90,5,7.691795454,0.016655131,1.56e-09,0.130722313,7.871186883,0.041329093,0.005703889,0.113823205,3.325879179,1.42e-05,1.23e-06,0.198511602
133,PD06,90,7.5,5.22975182,0.010256669,1.33e-09,0.130677232,4.659178281,0.039149295,8.2e-09,0.108850529,2.027898334,1.04e-06,1.18e-06,0.230496816
134,PD06,90,10,3.106858286,0.006475404,1.91e-09,0.124885172,3.359717689,0.027562109,0.021779806,0.107373079,1.351561319,2.2e-10,0.007142497,0.266132093
135,PD06,270,5,7.298016183,2.83e-09,3.68e-10,0.134898946,3.813871205,0.014721762,0.039999999,0.109684496,2.458980603,4.72e-10,0.020521776,0.262585361
136,PD06,270,7.5,4.467998567,0.005736884,2.35e-09,0.12641347,2.488486715,0.018564231,0.039999994,0.115558774,1.551445746,5.32e-08,0.013924141,0.285690086
137,PD06,270,10,3.001033813,0.004294508,3.28e-09,0.123206199,2.991948029,0.017827294,0.048809924,0.143268298,1.332829995,0.004568717,0.021460434,0.233732822
138,PD08,90,5,7.66835603,0.000467443,1.53e-08,0.133819008,5.878320354,0.018791659,0.04849006,0.103530917,2.595126865,4.13e-10,2.2e-06,0.234518851
139,PD08,90,7.5,4.229827084,0.001216105,1.34e-10,0.123502992,4.099992513,0.011323724,0.027832332,0.095506167,2.236743725,1.58e-06,2.38e-06,0.166392628
140,PD08,90,10,3.655299313,0.001584013,3.13e-11,0.119247629,2.732525959,0.013414313,0.027932888,0.128690487,1.305672881,1e-06,0.004678289,0.243628773
141,PD08,270,5,5.83222025,0.00517015,4.59e-11,0.136237656,4.522944083,0.00282874,0.032268446,0.111479994,1.896170479,2.5e-10,0.001425114,0.234345405
142,PD08,270,7.5,4.378038246,0.002048813,1.05e-10,0.127722875,4.50336161,0.005184346,0.028104925,0.107707747,1.404960587,2.49e-10,0.001407447,0.198535243
143,PD08,270,10,3.146143928,1.52e-10,0.001026299,0.126662159,4.056196273,0.006108259,0.018773919,0.107451945,1.600693692,5.21e-10,1.05e-08,0.299999984
144,PD09,90,5,6.097525765,0.009773242,0.00222117,0.105231248,4.770526286,0.034053439,1e-06,0.204376256,3.063833186,2.75e-10,0.004176348,0.247582847
145,PD09,90,7.5,4.175653387,0.002477512,1.95e-09,0.10154846,3.770363783,0.015882686,0.059999996,0.082534848,2.210670206,1e-06,0.02374161,0.215652165
146,PD09,90,10,2.80832581,0.004077791,0.005190813,0.101254545,2.765458393,0.017920289,0.039348206,0.078393931,1.386712951,1.97e-05,0.048789824,0.152445205
147,PD09,270,5,6.405831439,7.01e-10,0.004236219,0.114178601,4.757693929,0.002961089,0.020538243,0.249999998,4.757694034,8.74e-09,1.07e-07,0.298783253
148,PD09,270,7.5,4.725307063,9.27e-10,0.004452233,0.108656314,3.87534801,0.007176559,0.046902036,0.08452877,3.112911389,2.02e-10,0.006895278,0.232337246
149,PD09,270,10,4.515153882,8.54e-12,0.009732017,0.107382142,3.772449758,0.004848564,0.02655727,0.223634902,2.986183879,2.52e-10,0.00014887,0.289741326
150,PD10,90,5,7.60761588,1.5e-06,3.4e-06,0.122650269,6.627591592,0.013600502,0.039999999,0.133450672,2.672760681,0.000591044,0.005257376,0.296823213
151,PD10,90,7.5,4.206672126,8.33e-07,1.22e-06,0.116514833,4.684377604,0.014705654,0.037775502,0.12635061,1.951024987,0.00197964,4.78e-08,0.299999996
152,PD10,90,10,3.485413915,1.93e-09,4.05e-09,0.116515828,3.793897162,0.015596023,0.039999996,0.127690601,1.127258554,0.0022403,0.001913883,0.299999968
153,PD10,270,5,5.486816364,1.18e-10,2.65e-10,0.127459442,4.343022945,0.007090873,0.021873221,0.125364361,1.607448975,0.00058229,0.002792118,0.299999992
154,PD10,270,7.5,3.903825532,7.97e-08,1.32e-07,0.109249821,2.604537417,0.01034973,0.025886185,0.117533465,1.094673461,0.001023334,0.002522547,0.299999998
155,PD10,270,10,2.543682152,0.001249037,0.000973661,0.118776819,3.558369903,0.006474717,0.029579691,0.114622092,0.988418789,0.002650472,0.002653436,0.299529694
156,PD11,90,5,4.883584769,0.025042372,0.012001125,0.159141961,4.930352128,0.017794189,1.31e-09,0.191641898,3.402713208,1.79e-09,4.42e-09,0.262637027
157,PD11,90,7.5,3.642013306,0.020569736,0.005055391,0.144964223,4.112446052,0.013249361,1.14e-06,0.177551622,4.112445459,1e-06,1.74e-10,0.25
158,PD11,90,10,2.056556736,0.01000388,0.008782235,0.134223703,3.991883797,0.009234992,0.013363548,0.172703243,3.991883813,1e-06,0.004507489,0.248595284
159,PD11,270,5,8.439447115,0.043999989,0.013222627,0.153952986,6.469559117,0.014259067,2.72e-09,0.193624818,6.469561551,1.26e-07,5.43e-07,0.261310067
160,PD11,270,7.5,3.179888284,0.005688224,3.17e-09,0.141390262,3.172634399,0.016501474,0.041036467,0.096256815,2.10549354,6.02e-10,0.009850642,0.236378509
161,PD11,270,10,2.522701484,0.005469191,1.33e-10,0.146486346,3.319590813,0.006661066,0.025049337,0.1824862,3.319590784,1.66e-10,0.001570047,0.299999999
162,PD12,90,5,8.343199352,0.023337748,1.72e-08,0.12478394,5.947267529,0.036086508,0.059999996,0.114409202,3.263311947,7.94e-10,1.05e-06,0.226310194
163,PD12,90,7.5,5.319324863,0.015413585,1.17e-10,0.11938702,4.378095665,0.035771531,0.029074862,0.106798513,1.748433111,7.09e-10,0.012032661,0.207357535
164,PD12,90,10,3.983800965,0.008880398,2.19e-09,0.114534475,3.643641501,0.025769823,0.026015655,0.105385274,1.306088237,1e-06,0.02028567,0.188518705
165,PD12,270,5,6.867863889,0.039530146,1.91e-08,0.128664949,4.404781712,0.032451886,0.058827387,0.119301001,1.736092856,0.00070652,0.05959408,0.200263152
